=== running parity_transformer ===
C:\Users\vaibhav mahore\Downloads\CV Update\s4-to-mamba\src\ssmbench\train\trainer.py:207: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:821.)
  ep_loss += float(loss)
[parity_mamba] epoch 7/20 loss=0.6528 val={'loss': 0.6588, 'token_accuracy': 0.5306, 'sequence_success': 0.0}
[parity_mamba] epoch 8/20 loss=0.6486 val={'loss': 0.6442, 'token_accuracy': 0.5329, 'sequence_success': 0.0}
[parity_mamba] epoch 9/20 loss=0.6428 val={'loss': 0.6403, 'token_accuracy': 0.5405, 'sequence_success': 0.0}
[parity_mamba] epoch 10/20 loss=0.6388 val={'loss': 0.6421, 'token_accuracy': 0.5431, 'sequence_success': 0.0}
[parity_mamba] epoch 11/20 loss=0.6413 val={'loss': 0.6402, 'token_accuracy': 0.5413, 'sequence_success': 0.0}
[parity_mamba] epoch 12/20 loss=0.6375 val={'loss': 0.6361, 'token_accuracy': 0.545, 'sequence_success': 0.0}
[parity_mamba] epoch 13/20 loss=0.6346 val={'loss': 0.6321, 'token_accuracy': 0.544, 'sequence_success': 0.0}
[parity_mamba] epoch 14/20 loss=0.6305 val={'loss': 0.6281, 'token_accuracy': 0.5539, 'sequence_success': 0.0}
[parity_mamba] epoch 15/20 loss=0.6271 val={'loss': 0.6262, 'token_accuracy': 0.5566, 'sequence_success': 0.0}
[parity_mamba] epoch 16/20 loss=0.6255 val={'loss': 0.6239, 'token_accuracy': 0.5532, 'sequence_success': 0.0}
[parity_mamba] epoch 17/20 loss=0.6231 val={'loss': 0.6223, 'token_accuracy': 0.5527, 'sequence_success': 0.0}
[parity_mamba] epoch 18/20 loss=0.6216 val={'loss': 0.6206, 'token_accuracy': 0.5551, 'sequence_success': 0.0}
[parity_mamba] epoch 19/20 loss=0.6204 val={'loss': 0.62, 'token_accuracy': 0.5578, 'sequence_success': 0.0}
[parity_mamba] epoch 20/20 loss=0.6202 val={'loss': 0.6199, 'token_accuracy': 0.5591, 'sequence_success': 0.0}
=== running parity_mamba2 ===
[parity_mamba2] epoch 1/20 loss=0.7015 val={'loss': 0.6949, 'token_accuracy': 0.5048, 'sequence_success': 0.0}
[parity_mamba2] epoch 2/20 loss=0.6912 val={'loss': 0.6885, 'token_accuracy': 0.5069, 'sequence_success': 0.0}
[parity_mamba2] epoch 3/20 loss=0.6802 val={'loss': 0.6714, 'token_accuracy': 0.5179, 'sequence_success': 0.0}
[parity_mamba2] epoch 4/20 loss=0.6643 val={'loss': 0.6629, 'token_accuracy': 0.5249, 'sequence_success': 0.0}
[parity_mamba2] epoch 5/20 loss=0.6568 val={'loss': 0.655, 'token_accuracy': 0.5299, 'sequence_success': 0.0}
[parity_mamba2] epoch 6/20 loss=0.6506 val={'loss': 0.6489, 'token_accuracy': 0.5361, 'sequence_success': 0.0}
[parity_mamba2] epoch 7/20 loss=0.6462 val={'loss': 0.6428, 'token_accuracy': 0.5345, 'sequence_success': 0.0}
[parity_mamba2] epoch 8/20 loss=0.6413 val={'loss': 0.6407, 'token_accuracy': 0.5376, 'sequence_success': 0.0}
[parity_mamba2] epoch 9/20 loss=0.6380 val={'loss': 0.6315, 'token_accuracy': 0.5489, 'sequence_success': 0.0}
[parity_mamba2] epoch 10/20 loss=0.6300 val={'loss': 0.6328, 'token_accuracy': 0.5449, 'sequence_success': 0.0}
[parity_mamba2] epoch 11/20 loss=0.6293 val={'loss': 0.6237, 'token_accuracy': 0.5535, 'sequence_success': 0.0}
[parity_mamba2] epoch 12/20 loss=0.6211 val={'loss': 0.6167, 'token_accuracy': 0.5584, 'sequence_success': 0.0}
[parity_mamba2] epoch 13/20 loss=0.6170 val={'loss': 0.614, 'token_accuracy': 0.5578, 'sequence_success': 0.0}
[parity_mamba2] epoch 14/20 loss=0.6142 val={'loss': 0.6122, 'token_accuracy': 0.5609, 'sequence_success': 0.0}
[parity_mamba2] epoch 15/20 loss=0.6125 val={'loss': 0.6099, 'token_accuracy': 0.5605, 'sequence_success': 0.0}
[parity_mamba2] epoch 16/20 loss=0.6105 val={'loss': 0.6088, 'token_accuracy': 0.5621, 'sequence_success': 0.0}
[parity_mamba2] epoch 17/20 loss=0.6093 val={'loss': 0.6078, 'token_accuracy': 0.5632, 'sequence_success': 0.0}
